Ticker
MSFT
AAPL
NVDA
AMZN
META
GOOGL
BRK-B
GOOG
LLY
JPM
AVGO
UNH
TSLA
V
XOM
MA
JNJ
PG
HD
COST
ABBV
AMD
MRK
CRM
CVX
NFLX
WMT
BAC
ACN
KO
LIN
PEP
TMO
ADBE
WFC
DIS
MCD
ABT
ORCL
CSCO
QCOM
GE
INTC
CAT
INTU
IBM
CMCSA
VZ
AMAT
DHR
PFE
TXN
UBER
NOW
UNP
PM
AMGN
COP
LOW
ISRG
SPGI
HON
GS
AXP
RTX
NEE
T
NKE
ELV
PGR
LRCX
PLD
BKNG
SYK
ETN
BLK
TJX
MDT
UPS
MS
C
BMY
VRTX
BA
CB
CI
MU
SBUX
REGN
MMC
DE
SCHW
ADP
CVS
ADI
BSX
MDLZ
LMT
KLAC
AMT
GILD
BX
FI
PANW
TMUS
SNPS
CDNS
EQIX
ZTS
SHW
CME
MO
WM
ICE
TGT
CMG
SO
SLB
ITW
CSX
DUK
CL
EOG
MPC
MCK
ABNB
ANET
PH
BDX
PSX
PYPL
TT
ORLY
USB
NOC
APH
TDG
FCX
AON
HCA
EMR
GD
PCAR
NXPI
MCO
MAR
PNC
FDX
PXD
ROP
MMM
NSC
ECL
MSI
EW
VLO
AJG
APD
ADSK
CTAS
AZO
AIG
LULU
CEG
SMCI
HLT
COF
WELL
TRV
DXCM
SPG
ROST
CPRT
MCHP
CARR
F
GM
TFC
NUE
IQV
CCI
URI
DHI
WMB
OKE
AFL
MNST
MET
SRE
IDXX
GWW
PSA
O
STZ
TEL
AEP
A
MSCI
JCI
FAST
HUM
DLR
FTNT
ALL
AMP
KMB
AME
HES
OXY
BK
FIS
SYY
PRU
LHX
CNC
OTIS
D
DOW
COR
LEN
NEM
CMI
CTVA
CSGP
PAYX
YUM
RSG
GIS
CTSH
ODFL
MLM
IT
KR
IR
EXC
GEHC
VMC
PWR
KVUE
EL
PCG
MRNA
ACGL
VRSK
KMI
FANG
GPN
HAL
DG
CDW
MPWR
EA
BKR
PPG
ON
ROK
PEG
BIIB
ADM
DD
EFX
ED
DVN
XYL
RCL
DFS
KDP
FTV
FICO
VICI
HIG
EXR
HSY
CHTR
MTD
WST
XEL
ANSS
WTW
RMD
TSCO
DAL
CBRE
KHC
CAH
EBAY
DLTR
KEYS
HPQ
ULTA
EIX
ZBH
HWM
AVB
TROW
CHD
WEC
LYB
WAB
WY
GLW
DOV
BLDR
NVR
FITB
PHM
TRGP
BR
MOH
DECK
MTB
SBAC
IRM
TTWO
RJF
STE
AWK
ALGN
DTE
STT
GRMN
APTV
AXON
PTC
ETR
EQR
GPC
HPE
NTAP
FLT
HUBB
IFF
BAX
STLD
WAT
DRI
ES
NDAQ
ILMN
INVH
BALL
BRO
COO
CTRA
FE
PPL
TDY
CBOE
ARE
WDC
VLTO
WBD
LVS
J
HBAN
CINF
CLX
AEE
OMC
TXT
PFG
FDS
IEX
HOLX
EXPE
LH
RF
CNP
LDOS
WRB
EXPD
AVY
TYL
SYF
EPAM
MKC
VTR
ATO
CMS
VRSN
NTRS
LUV
EG
MAS
STX
SWKS
PKG
CCL
AKAM
TSN
CE
CF
JBHT
FSLR
TER
JBL
CFG
MRO
TRMB
POOL
DPZ
ESS
SNA
BBY
MAA
WBA
LYV
ENPH
ZBRA
LW
HST
NRG
ALB
VTRS
DGX
UAL
NDSN
K
L
BG
LKQ
EQT
AMCR
KEY
SWK
CAG
PNR
CRL
ROL
RVTY
KMX
IP
KIM
TAP
SJM
JKHY
IPG
WRK
LNT
DOC
GEN
EVRG
MGM
PODD
JNPR
HII
ALLE
TECH
UDR
FFIV
EMN
QRVO
INCY
TPR
NI
AOS
UHS
CPT
MOS
BBWI
CTLT
TFX
DAY
AES
GL
HRL
APA
HSIC
NWSA
REG
BF-B
AIZ
WYNN
PAYC
AAL
MTCH
BXP
CHRW
CPB
RHI
CZR
MKTX
FMC
NCLH
PNW
ETSY
BEN
BWA
DVA
FOXA
FRT
RL
XRAY
BIO
IVZ
GNRC
HAS
CMA
MHK
PARA
VFC
FOX
NWS
